dcterms:identifier,id_dico,genex:hasDico ^^resource,genex:hasType,dcterms:description,dcterms:title,genex:isCaract
93254,73,42,a,pesant,a_pesant,0
63136,42,35,a,pessimiste,a_pessimiste,0
55665,34,30,a,pessimiste,a_pessimiste,0
93255,73,42,a,pessimiste,a_pessimiste,0
63137,42,35,a,pestilentiel,a_pestilentiel,0
55666,34,30,a,pestilentiel,a_pestilentiel,0
93256,73,42,a,pestilentiel,a_pestilentiel,0
63138,42,35,a,pétillant,a_pétillant,0
55667,34,30,a,pétillant,a_pétillant,0
93257,73,42,a,pétillant,a_pétillant,0
167453,34,30,a,pétiodique,a_pétiodique,0
63139,42,35,a,pétiolé,a_pétiolé,0
55668,34,30,a,pétiolé,a_pétiolé,0
93258,73,42,a,pétiolé,a_pétiolé,0
63140,42,35,a,petit,a_petit,0
55669,34,30,a,petit,a_petit,0
93259,73,42,a,petit,a_petit,0
60710,34,30,a,petit 1,a_petit 1,0
68297,42,35,a,petit 1,a_petit 1,0
98410,73,42,a,petit 1,a_petit 1,0
60711,34,30,a,petit 2,a_petit 2,0
68298,42,35,a,petit 2,a_petit 2,0
98411,73,42,a,petit 2,a_petit 2,0
168677,34,30,a,pétri,a_pétri,0
63141,42,35,a,pétrifié,a_pétrifié,0
55670,34,30,a,pétrifié,a_pétrifié,0
93260,73,42,a,pétrifié,a_pétrifié,0
63142,42,35,a,peuplé,a_peuplé,0
55671,34,30,a,peuplé,a_peuplé,0
93261,73,42,a,peuplé,a_peuplé,0
170538,34,30,a,peuplé 1,a_peuplé 1,0
63143,42,35,a,peureux,a_peureux,0
55672,34,30,a,peureux,a_peureux,0
93262,73,42,a,peureux,a_peureux,0
60712,34,30,a,peureux 1,a_peureux 1,0
68299,42,35,a,peureux 1,a_peureux 1,0
98412,73,42,a,peureux 1,a_peureux 1,0
63144,42,35,a,phallique,a_phallique,0
55673,34,30,a,phallique,a_phallique,0
93263,73,42,a,phallique,a_phallique,0
63145,42,35,a,pharmacien,a_pharmacien,0
55674,34,30,a,pharmacien,a_pharmacien,0
93264,73,42,a,pharmacien,a_pharmacien,0
63146,42,35,a,philosophe,a_philosophe,0
55675,34,30,a,philosophe,a_philosophe,0
93265,73,42,a,philosophe,a_philosophe,0
63147,42,35,a,philosophique,a_philosophique,0
55676,34,30,a,philosophique,a_philosophique,0
93266,73,42,a,philosophique,a_philosophique,0
63148,42,35,a,phosphorescent,a_phosphorescent,0
55677,34,30,a,phosphorescent,a_phosphorescent,0
93267,73,42,a,phosphorescent,a_phosphorescent,0
129762,34,30,a,photographié,a_photographié,0
168725,34,30,a,photosensible,a_photosensible,0
63149,42,35,a,physiologique,a_physiologique,0
93268,73,42,a,physiologique,a_physiologique,0
63150,42,35,a,physique,a_physique,0
55678,34,30,a,physique,a_physique,0
93269,73,42,a,physique,a_physique,0
171466,148,68,a,piégé,a_piégé,0
157629,102,49,a,pierre,a_pierre,0
63151,42,35,a,pierreux,a_pierreux,0
55679,34,30,a,pierreux,a_pierreux,0
93270,73,42,a,pierreux,a_pierreux,0
167734,34,30,a,piétiné,a_piétiné,0
63152,42,35,a,pieux,a_pieux,0
55680,34,30,a,pieux,a_pieux,0
93271,73,42,a,pieux,a_pieux,0
167722,34,30,a,pillé,a_pillé,0
167992,34,30,a,pimenté,a_pimenté,0
63153,42,35,a,pincé,a_pincé,0
55681,34,30,a,pincé,a_pincé,0
93272,73,42,a,pincé,a_pincé,0
167286,34,30,a,piqué,a_piqué,0
63154,42,35,a,piqueté,a_piqueté,0
55682,34,30,a,piqueté,a_piqueté,0
93273,73,42,a,piqueté,a_piqueté,0
63155,42,35,a,pire,a_pire,0
55683,34,30,a,pire,a_pire,0
93274,73,42,a,pire,a_pire,0
166765,34,30,a,placardé,a_placardé,0
63156,42,35,a,placé,a_placé,0
55684,34,30,a,placé,a_placé,0
93275,73,42,a,placé,a_placé,0
63157,42,35,a,places,a_places,0
93276,73,42,a,places,a_places,0
129771,34,30,a,plaint,a_plaint,0
63158,42,35,a,planté,a_planté,0
55685,34,30,a,planté,a_planté,0
93277,73,42,a,planté,a_planté,0
60713,34,30,a,plante 1,a_plante 1,0
68300,42,35,a,plante 1,a_plante 1,0
98413,73,42,a,plante 1,a_plante 1,0
63159,42,35,a,plaqué,a_plaqué,0
55686,34,30,a,plaqué,a_plaqué,0
93278,73,42,a,plaqué,a_plaqué,0
63160,42,35,a,plastifié,a_plastifié,0
55687,34,30,a,plastifié,a_plastifié,0
93279,73,42,a,plastifié,a_plastifié,0
63161,42,35,a,plastique,a_plastique,0
55688,34,30,a,plastique,a_plastique,0
93280,73,42,a,plastique,a_plastique,0
63162,42,35,a,plat,a_plat,0
55689,34,30,a,plat,a_plat,0
93281,73,42,a,plat,a_plat,0
63163,42,35,a,plausible,a_plausible,0
55690,34,30,a,plausible,a_plausible,0
93282,73,42,a,plausible,a_plausible,0
166933,34,30,a,plébiscité,a_plébiscité,0
63164,42,35,a,plein,a_plein,0
55691,34,30,a,plein,a_plein,0
93283,73,42,a,plein,a_plein,0
60714,34,30,a,plein 1,a_plein 1,0
68301,42,35,a,plein 1,a_plein 1,0
98414,73,42,a,plein 1,a_plein 1,0
63165,42,35,a,pleuré,a_pleuré,0
55692,34,30,a,pleuré,a_pleuré,0
93284,73,42,a,pleuré,a_pleuré,0
63166,42,35,a,plié,a_plié,0
55693,34,30,a,plié,a_plié,0
93285,73,42,a,plié,a_plié,0
63167,42,35,a,plombé,a_plombé,0
55694,34,30,a,plombé,a_plombé,0
93286,73,42,a,plombé,a_plombé,0
63168,42,35,a,plongé,a_plongé,0
55695,34,30,a,plongé,a_plongé,0
93287,73,42,a,plongé,a_plongé,0
168875,34,30,a,plu,a_plu,0
63169,42,35,a,pluriel,a_pluriel,0
55696,34,30,a,pluriel,a_pluriel,0
93288,73,42,a,pluriel,a_pluriel,0
63170,42,35,a,pluvieux,a_pluvieux,0
55697,34,30,a,pluvieux,a_pluvieux,0
93289,73,42,a,pluvieux,a_pluvieux,0
63171,42,35,a,poète,a_poète,0
55698,34,30,a,poète,a_poète,0
93290,73,42,a,poète,a_poète,0
63172,42,35,a,poétique,a_poétique,0
55699,34,30,a,poétique,a_poétique,0
93291,73,42,a,poétique,a_poétique,0
122623,34,30,a,poignardé,a_poignardé,0
63173,42,35,a,pointu,a_pointu,0
55700,34,30,a,pointu,a_pointu,0
93292,73,42,a,pointu,a_pointu,0
63174,42,35,a,poisseux,a_poisseux,0
55701,34,30,a,poisseux,a_poisseux,0
93293,73,42,a,poisseux,a_poisseux,0
63175,42,35,a,polaire,a_polaire,0
168900,34,30,a,polaire,a_polaire,0
167354,34,30,a,poli,a_poli,0
63176,42,35,a,policier,a_policier,0
55702,34,30,a,policier,a_policier,0
93294,73,42,a,policier,a_policier,0
63177,42,35,a,politique,a_politique,0
55703,34,30,a,politique,a_politique,0
93295,73,42,a,politique,a_politique,0
166956,34,30,a,pollué,a_pollué,0
166971,34,30,a,pollué 1,a_pollué 1,0
63178,42,35,a,polyèdre,a_polyèdre,0
55704,34,30,a,polyèdre,a_polyèdre,0
93296,73,42,a,polyèdre,a_polyèdre,0
63179,42,35,a,polyédrique,a_polyédrique,0
93297,73,42,a,polyédrique,a_polyédrique,0
63180,42,35,a,ponctué,a_ponctué,0
55705,34,30,a,ponctué,a_ponctué,0
93298,73,42,a,ponctué,a_ponctué,0
158712,34,30,a,ponctuel,a_ponctuel,0
63181,42,35,a,populaire,a_populaire,0
55706,34,30,a,populaire,a_populaire,0
93299,73,42,a,populaire,a_populaire,0
158447,34,30,a,poreux,a_poreux,0
63182,42,35,a,pornographique,a_pornographique,0
55707,34,30,a,pornographique,a_pornographique,0
93300,73,42,a,pornographique,a_pornographique,0
169441,34,30,a,portable,a_portable,0
60715,34,30,a,portant 1,a_portant 1,0
68302,42,35,a,portant 1,a_portant 1,0
98415,73,42,a,portant 1,a_portant 1,0
63183,42,35,a,porté,a_porté,0
55708,34,30,a,porté,a_porté,0
93301,73,42,a,porté,a_porté,0
63184,42,35,a,porteur,a_porteur,0
55709,34,30,a,porteur,a_porteur,0
93302,73,42,a,porteur,a_porteur,0
63185,42,35,a,posé,a_posé,0
55710,34,30,a,posé,a_posé,0
93303,73,42,a,posé,a_posé,0
63186,42,35,a,positif,a_positif,0
55711,34,30,a,positif,a_positif,0
93304,73,42,a,positif,a_positif,0
63187,42,35,a,possédé,a_possédé,0
55712,34,30,a,possédé,a_possédé,0
93305,73,42,a,possédé,a_possédé,0
63188,42,35,a,possible,a_possible,0
55713,34,30,a,possible,a_possible,0
93306,73,42,a,possible,a_possible,0
60716,34,30,a,possible 1,a_possible 1,0
68303,42,35,a,possible 1,a_possible 1,0
98416,73,42,a,possible 1,a_possible 1,0
63189,42,35,a,postal,a_postal,0
55714,34,30,a,postal,a_postal,0
93307,73,42,a,postal,a_postal,0
171297,34,30,a,posté,a_posté,0
171271,34,30,a,postulant,a_postulant,0
157971,34,30,a,potelé,a_potelé,0
60717,34,30,a,potelé 1,a_potelé 1,0
68304,42,35,a,potelé 1,a_potelé 1,0
98417,73,42,a,potelé 1,a_potelé 1,0
158167,42,35,a,potential,a_potential,0
63190,42,35,a,potentiel,a_potentiel,0
93308,73,42,a,potentiel,a_potentiel,0
166897,34,30,a,potentiel,a_potentiel,0
170641,34,30,a,poudré,a_poudré,0
63191,42,35,a,poupin,a_poupin,0
55715,34,30,a,poupin,a_poupin,0
93309,73,42,a,poupin,a_poupin,0
60718,34,30,a,poupin 1,a_poupin 1,0
68305,42,35,a,poupin 1,a_poupin 1,0
98418,73,42,a,poupin 1,a_poupin 1,0
63192,42,35,a,pourpre,a_pourpre,0
55716,34,30,a,pourpre,a_pourpre,0
93310,73,42,a,pourpre,a_pourpre,0
122641,34,30,a,pourri,a_pourri,0
63193,42,35,a,poursuivi,a_poursuivi,0
55717,34,30,a,poursuivi,a_poursuivi,0
93311,73,42,a,poursuivi,a_poursuivi,0
168863,34,30,a,pourvu,a_pourvu,0
63194,42,35,a,poussé,a_poussé,0
55718,34,30,a,poussé,a_poussé,0
93312,73,42,a,poussé,a_poussé,0
166572,34,30,a,poussiéreux,a_poussiéreux,0
63195,42,35,a,pratique,a_pratique,0
55719,34,30,a,pratique,a_pratique,0
93313,73,42,a,pratique,a_pratique,0
63196,42,35,a,pratiques,a_pratiques,0
55720,34,30,a,pratiques,a_pratiques,0
93314,73,42,a,pratiques,a_pratiques,0
168390,34,30,a,précaire,a_précaire,0
171347,34,30,a,précédé,a_précédé,0
63197,42,35,a,précédent,a_précédent,0
55721,34,30,a,précédent,a_précédent,0
93315,73,42,a,précédent,a_précédent,0
167626,34,30,a,prêché,a_prêché,0
63198,42,35,a,précieux,a_précieux,0
55722,34,30,a,précieux,a_précieux,0
93316,73,42,a,précieux,a_précieux,0
60719,34,30,a,précieux 1,a_précieux 1,0
68306,42,35,a,précieux 1,a_précieux 1,0
98419,73,42,a,précieux 1,a_précieux 1,0
170094,34,30,a,précipité,a_précipité,0
63199,42,35,a,précis,a_précis,0
55723,34,30,a,précis,a_précis,0
93317,73,42,a,précis,a_précis,0
63200,42,35,a,précoce,a_précoce,0
55724,34,30,a,précoce,a_précoce,0
93318,73,42,a,précoce,a_précoce,0
63201,42,35,a,préconçu,a_préconçu,0
55725,34,30,a,préconçu,a_préconçu,0
93319,73,42,a,préconçu,a_préconçu,0
63202,42,35,a,prédéterminé,a_prédéterminé,0
55726,34,30,a,prédéterminé,a_prédéterminé,0
93320,73,42,a,prédéterminé,a_prédéterminé,0
168859,34,30,a,prédictif,a_prédictif,0
170446,34,30,a,prédit,a_prédit,0
166587,34,30,a,préférable,a_préférable,0
63203,42,35,a,préféré,a_préféré,0
55727,34,30,a,préféré,a_préféré,0
93321,73,42,a,préféré,a_préféré,0
60720,34,30,a,préféré 1,a_préféré 1,0
68307,42,35,a,préféré 1,a_préféré 1,0
98420,73,42,a,préféré 1,a_préféré 1,0
63204,42,35,a,préférentiel,a_préférentiel,0
55728,34,30,a,préférentiel,a_préférentiel,0
93322,73,42,a,préférentiel,a_préférentiel,0
168557,34,30,a,préhensile,a_préhensile,0
129816,34,30,a,prématuré,a_prématuré,0
63205,42,35,a,premier,a_premier,0
55729,34,30,a,premier,a_premier,0
93323,73,42,a,premier,a_premier,0
168778,34,30,a,premier 1,a_premier 1,0
129819,34,30,a,prenant,a_prenant,0
129821,34,30,a,prénommé,a_prénommé,0
63206,42,35,a,préoccupé,a_préoccupé,0
55730,34,30,a,préoccupé,a_préoccupé,0
93324,73,42,a,préoccupé,a_préoccupé,0
63207,42,35,a,préparé,a_préparé,0
55731,34,30,a,préparé,a_préparé,0
93325,73,42,a,préparé,a_préparé,0
158644,34,30,a,prescrit,a_prescrit,0
63208,42,35,a,présent,a_présent,0
55732,34,30,a,présent,a_présent,0
93326,73,42,a,présent,a_présent,0
166618,34,30,a,présentateur,a_présentateur,0
63209,42,35,a,présenté,a_présenté,0
55733,34,30,a,présenté,a_présenté,0
93327,73,42,a,présenté,a_présenté,0
168323,34,30,a,présidé,a_présidé,0
63210,42,35,a,presque,a_presque,0
55734,34,30,a,presque,a_presque,0
93328,73,42,a,presque,a_presque,0
63211,42,35,a,pressé,a_pressé,0
55735,34,30,a,pressé,a_pressé,0
93329,73,42,a,pressé,a_pressé,0
171151,34,30,a,pressenti,a_pressenti,0
129829,34,30,a,présumé,a_présumé,0
63212,42,35,a,prêt,a_prêt,0
55736,34,30,a,prêt,a_prêt,0
93330,73,42,a,prêt,a_prêt,0
169480,34,30,a,prêt 1,a_prêt 1,0
129832,34,30,a,prêté,a_prêté,0
166609,34,30,a,prétendu,a_prétendu,0
171431,34,30,a,prêteur,a_prêteur,0
63213,42,35,a,préventif,a_préventif,0
55737,34,30,a,préventif,a_préventif,0
93331,73,42,a,préventif,a_préventif,0
158618,34,30,a,prévisible,a_prévisible,0
63214,42,35,a,prévu,a_prévu,0
55738,34,30,a,prévu,a_prévu,0
93332,73,42,a,prévu,a_prévu,0
167366,34,30,a,prié,a_prié,0
63215,42,35,a,primitif,a_primitif,0
55739,34,30,a,primitif,a_primitif,0
93333,73,42,a,primitif,a_primitif,0
170492,34,30,a,prince,a_prince,0
63216,42,35,a,principal,a_principal,0
55740,34,30,a,principal,a_principal,0
93334,73,42,a,principal,a_principal,0
63217,42,35,a,printanier,a_printanier,0
55741,34,30,a,printanier,a_printanier,0
93335,73,42,a,printanier,a_printanier,0
60721,34,30,a,printanier 1,a_printanier 1,0
68308,42,35,a,printanier 1,a_printanier 1,0
98421,73,42,a,printanier 1,a_printanier 1,0
63218,42,35,a,pris,a_pris,0
55742,34,30,a,pris,a_pris,0
93336,73,42,a,pris,a_pris,0
60722,34,30,a,pris 1,a_pris 1,0
68309,42,35,a,pris 1,a_pris 1,0
98422,73,42,a,pris 1,a_pris 1,0
170763,34,30,a,pris 2,a_pris 2,0
166695,34,30,a,priseur,a_priseur,0
63219,42,35,a,prisonnier,a_prisonnier,0
55743,34,30,a,prisonnier,a_prisonnier,0
93337,73,42,a,prisonnier,a_prisonnier,0
63220,42,35,a,privé,a_privé,0
55744,34,30,a,privé,a_privé,0
93338,73,42,a,privé,a_privé,0
63221,42,35,a,probable,a_probable,0
55745,34,30,a,probable,a_probable,0
93339,73,42,a,probable,a_probable,0
169706,34,30,a,problématique,a_problématique,0
168302,34,30,a,processionnel,a_processionnel,0
63222,42,35,a,prochain,a_prochain,0
55746,34,30,a,prochain,a_prochain,0
93340,73,42,a,prochain,a_prochain,0
63223,42,35,a,proche,a_proche,0
55747,34,30,a,proche,a_proche,0
93341,73,42,a,proche,a_proche,0
168094,34,30,a,proclamé,a_proclamé,0
