id_dico,genex:hasDico,id_conj,modele,id0,present1,id1,present2,id2,present3,id3,present4,id4,present5,id5,present6,id6,imparfait1,id7,imparfait2,id8,imparfait3,id9,imparfait4,id10,imparfait5,id11,imparfait6,id12,passeSimple1,id13,passeSimple2,id14,passeSimple3,id15,passeSimple4,id16,passeSimple5,id17,passeSimple6,id18,futurSimple1,id19,futurSimple2,id20,futurSimple3,id21,futurSimple4,id22,futurSimple5,id23,futurSimple6,id24,conditionnel1,id25,conditionnel2,id26,conditionnel3,id27,conditionnel4,id28,conditionnel5,id29,conditionnel6,id30,subjonctif1,id31,subjonctif2,id32,subjonctif3,id33,subjonctif4,id34,subjonctif5,id35,subjonctif6,id36,participe,id37,infinitif
40,33,690,révéler,0,èle,1,èles,2,èle,3,élons,4,élez,5,élent,6,élais,7,élais,8,élait,9,élions,10,éliez,11,élaient,12,élai,13,élas,14,éla,15,élâmes,16,élâtes,17,élèrenl,18,élerai,19,éleras,20,élera,21,élerons,22,élerez,23,éleront,24,élerais,25,élerais,26,élerait,27,élerions,28,éleriez,29,éleraient,30,èle,31,èles,32,èle,33,élions,34,éliez,35,élent,36,élant,37,éler
40,33,691,protéger,0,ège,1,èges,2,ège,3,égeons,4,égez,5,ègent,6,égeais,7,égeais,8,égeait,9,égions,10,égiez,11,égeaient,12,égeai,13,égeas,14,égea,15,égeâmes,16,égeâtes,17,égèrent,18,égerai,19,égeras,20,égera,21,égeront,22,égerez,23,égeront,24,égerais,25,égerais,26,égerait,27,égerions,28,égeriez,29,égeraient,30,ège,31,èges,32,ège,33,égions,34,égiez,35,ègent,36,égeant,37,éger
40,33,692,exagérer,0,ère,1,ères,2,ère,3,érons,4,érez,5,èrent,6,érais,7,érais,8,érair,9,érions,10,ériez,11,éraient,12,érai,13,éras,14,éra,15,érâmes,16,érâtes,17,érèrent,18,érerai,19,éreras,20,érera,21,érerons,22,érerez,23,éreront,24,érerais,25,érerais,26,érerair,27,érerions,28,éreriez,29,éreraient,30,ère,31,ères,32,ère,33,érions,34,ériez,35,èrent,36,érant,37,érer
40,33,693,essayer,0,aie,1,aies,2,aie,3,ayons,4,ayez,5,aient,6,ayais,7,ayais,8,ayait,9,ayions,10,ayiez,11,ayaient,12,ayai,13,ayas,14,aya,15,ayâmes,16,ayâtes,17,ayèrent,18,aierai,19,aieras,20,aiera,21,aierons,22,aierez,23,aieront,24,aierais,25,aierais,26,aierait,27,aierions,28,aieriez,29,aieriont,30,aie,31,aies,32,aie,33,ayions,34,ayiez,35,aient,36,ayant,37,ayer
40,33,694,broyer,0,ie,1,ies,2,ie,3,yons,4,yez,5,ient,6,yais,7,yais,8,yait,9,yions,10,yiez,11,yaient,12,yai,13,yas,14,ya,15,yâmes,16,yâtes,17,yèrent,18,ierai,19,ieras,20,iera,21,ierons,22,ierez,23,ieront,24,ierais,25,ierais,26,ierait,27,ierions,28,ieriez,29,ieraient,30,ie,31,ies,32,ie,33,yions,34,uiez,35,ient,36,yant,37,yer
40,33,695,écrire,0,cris,1,cris,2,crit,3,crivons,4,crivez,5,crivent,6,crivais,7,crivais,8,crivait,9,crivions,10,criviez,11,crivaient,12,crivis,13,crivis,14,crivit,15,crivîmes,16,crivîtes,17,crivirent,18,crirai,19,criras,20,crira,21,crirons,22,crirez,23,criront,24,crirais,25,crirais,26,crirait,27,cririons,28,cririez,29,criraient,30,crive,31,crives,32,crive,33,crivions,34,criviez,35,crivent,36,crivant,37,crire
40,33,696,finir,0,is,1,is,2,it,3,issons,4,issez,5,issent,6,issais,7,issais,8,issait,9,issions,10,issiez,11,issaient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,irai,19,iras,20,ira,21,irons,22,irez,23,iront,24,irais,25,irais,26,irait,27,irions,28,iriez,29,iraient,30,isse,31,isses,32,isse,33,issions,34,issiez,35,issent,36,issant,37,ir
40,33,698,rire,0,is,1,is,2,it,3,ions,4,iez,5,ient,6,iais,7,iais,8,iait,9,iions,10,iiez,11,iaient,12,is,13,is,14,it,15,îmes,16,îtes,17,irent,18,irai,19,iras,20,ira,21,irons,22,irez,23,iront,24,irais,25,irais,26,irait,27,irions,28,iriez,29,iraient,30,ie,31,ies,32,ie,33,iions,34,iiez,35,ient,36,iant,37,ire
40,33,699,aller,0,vais,1,vas,2,va,3,allons,4,allez,5,vont,6,allais,7,allais,8,allait,9,allions,10,alliez,11,allaient,12,allai,13,allas,14,alla,15,allâmes,16,allâtes,17,allèrent,18,irai,19,iras,20,ira,21,irons,22,irez,23,iront,24,irais,25,irais,26,irait,27,irions,28,iriez,29,iraient,30,aille,31,ailles,32,aille,33,allions,34,alliez,35,aillent,36,allant,37,aller
40,33,700,tenir,0,iens,1,iens,2,ient,3,enons,4,enez,5,iennent,6,enais,7,enais,8,enait,9,enions,10,eniez,11,enaient,12,ins,13,ins,14,int,15,înmes,16,întes,17,inrent,18,iendrai,19,iendras,20,iendra,21,iendrons,22,iendrez,23,iendront,24,iendrais,25,iendrais,26,iendrait,27,iendrions,28,iendriez,29,iendraient,30,ienne,31,iennes,32,ienne,33,enions,34,eniez,35,iennent,36,enant,37,enir
40,33,701,vivre,0,is,1,is,2,it,3,ivons,4,ivez,5,ivent,6,ivais,7,ivais,8,ivait,9,ivions,10,iviez,11,ivaient,12,écus,13,écus,14,écut,15,écûmes,16,écûtes,17,écurent,18,ivrai,19,ivras,20,ivra,21,ivrons,22,ivrez,23,ivront,24,ivrais,25,ivrais,26,ivrait,27,virions,28,ivriez,29,ivraient,30,ive,31,ives,32,ive,33,ivions,34,iviez,35,ivent,36,ivant,37,ivre
40,33,702,sentir,0,s,1,s,2,t,3,tons,4,tez,5,tent,6,tais,7,tais,8,tait,9,tions,10,tiez,11,taient,12,tis,13,tis,14,tit,15,tîmes,16,tîtes,17,tirent,18,tirai,19,tiras,20,tira,21,tirons,22,tirez,23,tiront,24,tirais,25,tirais,26,tirait,27,tirions,28,tiriez,29,tiraient,30,te,31,tes,32,te,33,tions,34,tiez,35,tent,36,tant,37,tir
