id_syn,id_dico,genex:hasDico ^^resource,num,lib
2458,42,35,-1,probably
2459,42,35,-1,without any doubt
2460,42,35,-1,completely
2461,42,35,-1,totally
2462,42,35,-1,wholly
2463,42,35,-1,entirely
2464,42,35,-1,ergo
2465,42,35,-1,par conséquent
2466,42,35,-1,en vain
2467,42,35,-1,inutilement
2468,42,35,-1,vainement
2469,42,35,-1,ensemble
2470,42,35,-1,tous ensemble
2471,42,35,-1,exactly
2472,42,35,-1,precisely
2473,42,35,-1,frequently
2474,42,35,-1,generally
2475,42,35,-1,most of the time
2476,42,35,-1,mostly
2477,42,35,-1,normally
2478,42,35,-1,usually
2479,42,35,-1,notably
2480,42,35,-1,fortuitously
2481,42,35,-1,in an unexpected way
2482,42,35,-1,accidentally
2483,42,35,-1,attentivement
2484,42,35,-1,longuement
2485,42,35,-1,patiemment
2486,42,35,-1,at length
2487,42,35,-1,attentively
2488,42,35,-1,carefully
2489,42,35,-1,patiently
2490,42,35,-1,slowly
2491,42,35,-1,eighteen
2492,42,35,-1,fifteen
2493,42,35,-1,four
2494,42,35,-1,fourteen
2495,42,35,-1,nineteen
2496,42,35,-1,seven
2497,42,35,-1,seventeen
2498,42,35,-1,six
2499,42,35,-1,thirteen
2500,42,35,-1,at intervals
2501,42,35,-1,at times
2502,42,35,-1,from time to time
2503,42,35,-1,approximativement
2504,42,35,-1,quasiment
2505,42,35,-1,vaguement
2506,42,35,-1,ensuite
2507,42,35,-1,puis
2508,42,35,-1,by moments
2509,42,35,-1,continually
2510,42,35,-1,continuously
2511,42,35,-1,endlessly
2512,42,35,-1,indefinitly
2513,42,35,-1,inexhaustibly
2514,42,35,-1,perpétuellement
2515,42,35,-1,with no respite
2516,42,35,-1,without a stop
2517,42,35,-1,excepté
2518,42,35,-1,mis à part
2519,42,35,-1,sauf
2520,42,35,-1,avec attention
2521,42,35,-1,avec minutie
2522,42,35,-1,avec soin
2523,42,35,-1,méthodiquement
2524,42,35,-1,méticuleusement
2525,42,35,-1,minutieusement
2526,42,35,-1,scrupuleusement
2527,42,35,-1,soigneusement
2528,42,35,-1,abruptly
2529,42,35,-1,all of a sudden
2530,42,35,-1,at once
2531,42,35,-1,brutally
2532,42,35,-1,of a sudden
2533,42,35,-1,suddenly
2534,42,35,-1,tout à coup
2535,42,35,-1,unexpectedly
2536,42,35,-1,violently
2537,42,35,-1,with no reason
2538,42,35,-1,all at once
2539,42,35,-1,commonly
2540,42,35,-1,especially
2541,42,35,-1,paticularly
2542,42,35,-1,principally
2543,42,35,-1,constantly
2544,42,35,-1,continualy
2545,42,35,-1,eternally
2546,42,35,-1,perpetually
2547,42,35,-1,des siècles
2548,42,35,-1,entièrement
2549,42,35,-1,intégralement
2550,42,35,-1,tout
2551,42,35,-1,very
2552,42,35,-1,étonnamment
2553,42,35,-1,horriblement
2554,42,35,-1,légèrement
2555,42,35,-1,médiocrement
2556,42,35,-1,modérément
2557,42,35,-1,moyennement
2558,42,35,-1,sans exagération
2559,42,35,-1,un petit peu
2560,42,35,-1,un peu
2561,42,35,-1,un tant soit peu
2562,42,35,-1,à l'instant
2563,42,35,-1,aussitot
2564,42,35,-1,hâtivement
2565,42,35,-1,précipitamment
2566,42,35,-1,promptement
2567,42,35,-1,rapidement
2568,42,35,-1,sans tarder
2569,42,35,-1,soudainement
2570,42,35,-1,subitement
2571,42,35,-1,décidément
2572,42,35,-1,effectivement
2573,42,35,-1,réellement
2574,42,35,-1,tout à fait
2575,42,35,-1,vraiment
3502,73,42,-1,un petit peu
3501,73,42,-1,sans exagération
3500,73,42,-1,moyennement
3499,73,42,-1,modérément
3498,73,42,-1,médiocrement
3497,73,42,-1,légèrement
3496,73,42,-1,horriblement
3495,73,42,-1,étonnamment
3494,73,42,-1,very
3493,73,42,-1,tout
3492,73,42,-1,intégralement
3491,73,42,-1,entièrement
3490,73,42,-1,des siècles
3489,73,42,-1,perpetually
3488,73,42,-1,eternally
3487,73,42,-1,continualy
3486,73,42,-1,constantly
3485,73,42,-1,specially
3484,73,42,-1,principally
3483,73,42,-1,paticularly
3482,73,42,-1,especially
3481,73,42,-1,frequently
3480,73,42,-1,mostly
3479,73,42,-1,most of the time
3478,73,42,-1,generally
3477,73,42,-1,commonly
3476,73,42,-1,unexpectedly
3475,73,42,-1,with no reason
3474,73,42,-1,at once
3473,73,42,-1,tout à coup
3472,73,42,-1,of a sudden
3471,73,42,-1,all of a sudden
3470,73,42,-1,violently
3469,73,42,-1,brutally
3468,73,42,-1,suddenly
3467,73,42,-1,abruptly
3466,73,42,-1,soigneusement
3465,73,42,-1,scrupuleusement
3464,73,42,-1,minutieusement
3463,73,42,-1,méticuleusement
3462,73,42,-1,méthodiquement
3461,73,42,-1,avec soin
3460,73,42,-1,avec minutie
3459,73,42,-1,avec attention
3458,73,42,-1,sauf
3457,73,42,-1,mis à part
3456,73,42,-1,excepté
3455,73,42,-1,without a stop
3454,73,42,-1,with no respite
3453,73,42,-1,perpétuellement
3452,73,42,-1,inexhaustibly
3451,73,42,-1,indefinitly
3450,73,42,-1,endlessly
3449,73,42,-1,continuously
3448,73,42,-1,continually
3447,73,42,-1,by moments
3446,73,42,-1,puis
3445,73,42,-1,ensuite
3444,73,42,-1,vaguement
3443,73,42,-1,quasiment
3442,73,42,-1,approximativement
3441,73,42,-1,usually
3440,73,42,-1,from time to time
3439,73,42,-1,at times
3438,73,42,-1,at intervals
3437,73,42,-1,tres
3436,73,42,-1,trece
3435,73,42,-1,siete
3434,73,42,-1,seiz
3433,73,42,-1,quince
3432,73,42,-1,cuatro
3431,73,42,-1,once
3430,73,42,-1,ocho
3429,73,42,-1,nueve
3428,73,42,-1,dos
3427,73,42,-1,doce
3426,73,42,-1,diez
3425,73,42,-1,dieciséis
3424,73,42,-1,dieciocho
3423,73,42,-1,diecenueve
3422,73,42,-1,cinco
3421,73,42,-1,catorce
3420,73,42,-1,5
3419,73,42,-1,4
3418,73,42,-1,3
3417,73,42,-1,22
3416,73,42,-1,21
3415,73,42,-1,20
3414,73,42,-1,2
3413,73,42,-1,19
3412,73,42,-1,18
3411,73,42,-1,17
3410,73,42,-1,16
3409,73,42,-1,15
3408,73,42,-1,14
3407,73,42,-1,13
3406,73,42,-1,12
3405,73,42,-1,11
3404,73,42,-1,10
3403,73,42,-1,slowly
3402,73,42,-1,patiently
