dcterms:identifier,id_dico,genex:hasDico ^^resource,genex:hasType,dcterms:description,dcterms:title,genex:isCaract
67126,42,35,v,déchaîner,v_déchaîner,0
59536,34,30,v,déchaîner,v_déchaîner,0
97238,73,42,v,déchaîner,v_déchaîner,0
67127,42,35,v,déchiffrer,v_déchiffrer,0
59537,34,30,v,déchiffrer,v_déchiffrer,0
97239,73,42,v,déchiffrer,v_déchiffrer,0
67128,42,35,v,déchirer,v_déchirer,0
59538,34,30,v,déchirer,v_déchirer,0
97240,73,42,v,déchirer,v_déchirer,0
67129,42,35,v,décider,v_décider,0
59539,34,30,v,décider,v_décider,0
97241,73,42,v,décider,v_décider,0
166540,34,30,v,déclamer,v_déclamer,0
67130,42,35,v,déclarer,v_déclarer,0
59540,34,30,v,déclarer,v_déclarer,0
97242,73,42,v,déclarer,v_déclarer,0
166874,34,30,v,déclencher,v_déclencher,0
67131,42,35,v,décoller,v_décoller,0
59541,34,30,v,décoller,v_décoller,0
97243,73,42,v,décoller,v_décoller,0
67132,42,35,v,déconcerter,v_déconcerter,0
59542,34,30,v,déconcerter,v_déconcerter,0
97244,73,42,v,déconcerter,v_déconcerter,0
169761,34,30,v,décontextualiser,v_décontextualiser,0
67133,42,35,v,décorer,v_décorer,0
59543,34,30,v,décorer,v_décorer,0
97245,73,42,v,décorer,v_décorer,0
170545,34,30,v,découler 1,v_découler 1,0
67134,42,35,v,découper,v_découper,0
59544,34,30,v,découper,v_découper,0
97246,73,42,v,découper,v_découper,0
67135,42,35,v,décourager,v_décourager,0
59545,34,30,v,décourager,v_décourager,0
97247,73,42,v,décourager,v_décourager,0
67136,42,35,v,découvrir,v_découvrir,0
59546,34,30,v,découvrir,v_découvrir,0
97248,73,42,v,découvrir,v_découvrir,0
67137,42,35,v,décrire,v_décrire,0
59547,34,30,v,décrire,v_décrire,0
97249,73,42,v,décrire,v_décrire,0
133835,34,30,v,décrocher,v_décrocher,0
67138,42,35,v,décrypter,v_décrypter,0
59548,34,30,v,décrypter,v_décrypter,0
97250,73,42,v,décrypter,v_décrypter,0
169258,34,30,v,dédaigner,v_dédaigner,0
67139,42,35,v,dédier,v_dédier,0
59549,34,30,v,dédier,v_dédier,0
97251,73,42,v,dédier,v_dédier,0
169342,34,30,v,dédoubler,v_dédoubler,0
67140,42,35,v,défaire,v_défaire,0
59550,34,30,v,défaire,v_défaire,0
97252,73,42,v,défaire,v_défaire,0
67141,42,35,v,défendre,v_défendre,0
59551,34,30,v,défendre,v_défendre,0
97253,73,42,v,défendre,v_défendre,0
67142,42,35,v,déferler,v_déferler,0
59552,34,30,v,déferler,v_déferler,0
97254,73,42,v,déferler,v_déferler,0
67143,42,35,v,défier,v_défier,0
59553,34,30,v,défier,v_défier,0
97255,73,42,v,défier,v_défier,0
61251,34,30,v,défier 1,v_défier 1,0
68841,42,35,v,défier 1,v_défier 1,0
98960,73,42,v,défier 1,v_défier 1,0
67144,42,35,v,défiler,v_défiler,0
59554,34,30,v,défiler,v_défiler,0
97256,73,42,v,défiler,v_défiler,0
67145,42,35,v,définir,v_définir,0
59555,34,30,v,définir,v_définir,0
97257,73,42,v,définir,v_définir,0
67146,42,35,v,défoncer,v_défoncer,0
59556,34,30,v,défoncer,v_défoncer,0
97258,73,42,v,défoncer,v_défoncer,0
158442,34,30,v,déformer,v_déformer,0
67147,42,35,v,défrayer,v_défrayer,0
59557,34,30,v,défrayer,v_défrayer,0
97259,73,42,v,défrayer,v_défrayer,0
167279,34,30,v,défricher,v_défricher,0
67148,42,35,v,dégager,v_dégager,0
59558,34,30,v,dégager,v_dégager,0
97260,73,42,v,dégager,v_dégager,0
67149,42,35,v,dégouliner,v_dégouliner,0
59559,34,30,v,dégouliner,v_dégouliner,0
97261,73,42,v,dégouliner,v_dégouliner,0
170219,34,30,v,dégrossir,v_dégrossir,0
67150,42,35,v,déguiser,v_déguiser,0
59560,34,30,v,déguiser,v_déguiser,0
97262,73,42,v,déguiser,v_déguiser,0
67151,42,35,v,déguster,v_déguster,0
59561,34,30,v,déguster,v_déguster,0
97263,73,42,v,déguster,v_déguster,0
67152,42,35,v,déjeuner,v_déjeuner,0
59562,34,30,v,déjeuner,v_déjeuner,0
97264,73,42,v,déjeuner,v_déjeuner,0
67153,42,35,v,déjouer,v_déjouer,0
59563,34,30,v,déjouer,v_déjouer,0
97265,73,42,v,déjouer,v_déjouer,0
67154,42,35,v,délecter,v_délecter,0
59564,34,30,v,délecter,v_délecter,0
97266,73,42,v,délecter,v_délecter,0
67155,42,35,v,délimiter,v_délimiter,0
59565,34,30,v,délimiter,v_délimiter,0
97267,73,42,v,délimiter,v_délimiter,0
67156,42,35,v,délirer,v_délirer,0
59566,34,30,v,délirer,v_délirer,0
97268,73,42,v,délirer,v_délirer,0
67157,42,35,v,déliter,v_déliter,0
59567,34,30,v,déliter,v_déliter,0
97269,73,42,v,déliter,v_déliter,0
67158,42,35,v,délivrer,v_délivrer,0
59568,34,30,v,délivrer,v_délivrer,0
97270,73,42,v,délivrer,v_délivrer,0
67159,42,35,v,demander,v_demander,0
59569,34,30,v,demander,v_demander,0
97271,73,42,v,demander,v_demander,0
61252,34,30,v,demander 1,v_demander 1,0
68842,42,35,v,demander 1,v_demander 1,0
98961,73,42,v,demander 1,v_demander 1,0
61253,34,30,v,demander 2,v_demander 2,0
68843,42,35,v,demander 2,v_demander 2,0
98962,73,42,v,demander 2,v_demander 2,0
67160,42,35,v,démanger,v_démanger,0
59570,34,30,v,démanger,v_démanger,0
97272,73,42,v,démanger,v_démanger,0
133860,34,30,v,démarquer,v_démarquer,0
